id,contrato_id,data_leitura,valor_kwh
99,11,2025-11-20,174.52
100,11,2025-12-20,192.03
101,11,2026-01-19,205.48
102,12,2025-04-23,789.2
103,12,2025-05-23,971.94
104,12,2025-06-22,1127.2
105,12,2025-07-22,680.75
106,12,2025-08-21,949.28
107,12,2025-09-20,755.34
108,12,2025-10-20,710.18
109,12,2025-11-19,795.56
110,12,2025-12-19,587.04
111,12,2026-01-18,762.59
112,13,2025-02-22,849.42
113,13,2025-03-24,731.05
114,13,2025-04-23,872.95
115,13,2025-05-23,891.16
116,13,2025-06-22,952.74
117,13,2025-07-22,578.54
118,13,2025-08-21,1124.76
119,13,2025-09-20,1065.43
120,13,2025-10-20,665.2
121,13,2025-11-19,815.17
122,13,2025-12-19,786.86
123,13,2026-01-18,705.41
124,14,2025-10-25,181.18
125,14,2025-11-24,291.58
126,14,2025-12-24,232.1
127,14,2026-01-23,253.97
128,15,2025-02-14,218.79
129,15,2025-03-16,241.72
130,15,2025-04-15,178.17
131,15,2025-05-15,213.27
132,15,2025-06-14,203.93
133,15,2025-07-14,263.24
134,15,2025-08-13,210.39
135,15,2025-09-12,239.71
136,15,2025-10-12,230.53
137,15,2025-11-11,187.83
138,15,2025-12-11,239.24
139,15,2026-01-10,258.94
140,16,2025-02-06,817.14
141,16,2025-03-08,840.66
142,16,2025-04-07,881.09
143,16,2025-05-07,628.36
144,16,2025-06-06,819.3
145,16,2025-07-06,861.49
146,16,2025-08-05,808.76
147,16,2025-09-04,1044.09
148,16,2025-10-04,795.81
149,16,2025-11-03,1053.66
150,16,2025-12-03,959.57
151,16,2026-01-02,1137.47
152,16,2026-02-01,1133.8
153,17,2025-11-13,230.48
154,17,2025-12-13,205.07
155,17,2026-01-12,234.59
156,18,2025-02-06,315.48
157,18,2025-03-08,169.87
158,18,2025-04-07,222.14
159,18,2025-05-07,187.49
160,18,2025-06-06,283.13
161,18,2025-07-06,246.83
162,18,2025-08-05,231.99
163,18,2025-09-04,271.31
164,18,2025-10-04,234.56
165,18,2025-11-03,226.14
166,18,2025-12-03,225.99
167,18,2026-01-02,274.13
168,18,2026-02-01,238.24
169,19,2025-02-06,166.89
170,19,2025-03-08,177.87
171,19,2025-04-07,115.77
172,19,2025-05-07,153.24
173,19,2025-06-06,142.62
174,19,2025-07-06,119.32
175,19,2025-08-05,167.37
176,19,2025-09-04,133.06
177,19,2025-10-04,129.66
178,19,2025-11-03,146.14
179,19,2025-12-03,183.94
180,19,2026-01-02,166.08
181,19,2026-02-01,163.01
182,20,2025-11-22,179.5
183,20,2025-12-22,124.18
184,20,2026-01-21,153.16
185,22,2025-10-21,191.99
186,22,2025-11-20,186.44
187,22,2025-12-20,227.48
188,22,2026-01-19,214.68
189,24,2025-08-19,211.37
190,24,2025-09-18,192.51
191,24,2025-10-18,176.27
192,24,2025-11-17,110.54
193,24,2025-12-17,187.93
194,24,2026-01-16,153.33
195,25,2025-02-06,155.3
196,25,2025-03-08,196.75
197,25,2025-04-07,211.01
198,25,2025-05-07,256.81
199,25,2025-06-06,196.83
200,25,2025-07-06,200.27
201,25,2025-08-05,160.47
202,25,2025-09-04,226.1
203,25,2025-10-04,156.83
204,25,2025-11-03,185.83
205,25,2025-12-03,198.8
206,25,2026-01-02,152.77
207,25,2026-02-01,201.71
208,26,2025-02-06,207.61
209,26,2025-03-08,195.75
210,26,2025-04-07,219.65
211,26,2025-05-07,230.31
212,26,2025-06-06,179.29
213,26,2025-07-06,215.43
214,26,2025-08-05,217.64
215,26,2025-09-04,207.11
216,26,2025-10-04,200.5
217,26,2025-11-03,217.03
218,26,2025-12-03,265.11
219,26,2026-01-02,219.64
220,26,2026-02-01,167.84
221,27,2025-02-06,174.3
222,27,2025-03-08,180.72
223,27,2025-04-07,185.97
224,27,2025-05-07,218.29
225,27,2025-06-06,186.27
226,27,2025-07-06,192.47
227,27,2025-08-05,209.62
228,27,2025-09-04,163.68
229,27,2025-10-04,239.34
230,27,2025-11-03,184.1
231,27,2025-12-03,158.58
232,27,2026-01-02,165.68
233,27,2026-02-01,227.5
234,28,2025-05-27,203.27
235,28,2025-06-26,185.27
236,28,2025-07-26,191.69
237,28,2025-08-25,236.39
238,28,2025-09-24,220.32
239,28,2025-10-24,216.39
240,28,2025-11-23,210.25
241,28,2025-12-23,150.89
242,28,2026-01-22,233.43
243,30,2025-02-06,190.86
244,30,2025-03-08,218.7
245,30,2025-04-07,165.25
246,30,2025-05-07,198.34
247,30,2025-06-06,184.39
248,30,2025-07-06,252.45
249,30,2025-08-05,204.92
250,30,2025-09-04,219.41
251,30,2025-10-04,179.98
252,30,2025-11-03,201.04
253,30,2025-12-03,232.54
254,30,2026-01-02,212.0
255,30,2026-02-01,229.13
256,31,2025-02-06,181.09
257,31,2025-03-08,215.9
258,31,2025-04-07,222.18
259,31,2025-05-07,229.1
260,31,2025-06-06,207.55
261,31,2025-07-06,242.1
262,31,2025-08-05,217.75
263,31,2025-09-04,203.14
264,31,2025-10-04,206.33
265,31,2025-11-03,201.79
266,31,2025-12-03,262.67
267,31,2026-01-02,235.29
268,31,2026-02-01,216.36
269,33,2025-02-06,234.48
270,33,2025-03-08,256.25
271,33,2025-04-07,255.55
272,33,2025-05-07,254.61
273,33,2025-06-06,169.6
274,33,2025-07-06,248.78
275,33,2025-08-05,212.53
276,33,2025-09-04,220.16
277,33,2025-10-04,254.42
278,33,2025-11-03,235.75
279,33,2025-12-03,252.83
280,33,2026-01-02,295.08
281,33,2026-02-01,277.0
282,35,2025-03-16,185.44
283,35,2025-04-15,144.16
284,35,2025-05-15,183.2
285,35,2025-06-14,157.26
286,35,2025-07-14,109.29
287,35,2025-08-13,112.3
288,35,2025-09-12,119.16
289,35,2025-10-12,157.87
290,35,2025-11-11,240.33
291,35,2025-12-11,199.15
292,35,2026-01-10,109.38
293,36,2025-02-06,151.66
294,36,2025-03-08,136.53
295,36,2025-04-07,89.55
296,36,2025-05-07,158.88
297,36,2025-06-06,185.11
298,36,2025-07-06,193.99
299,36,2025-08-05,137.3
300,36,2025-09-04,154.86
301,36,2025-10-04,121.6
302,36,2025-11-03,159.58
303,36,2025-12-03,161.74
304,36,2026-01-02,158.51
305,36,2026-02-01,139.88
306,37,2025-02-06,150.44
307,37,2025-03-08,115.17
308,37,2025-04-07,124.78
309,37,2025-05-07,180.12
310,37,2025-06-06,157.83
311,37,2025-07-06,154.04
312,37,2025-08-05,200.71
313,37,2025-09-04,155.92
314,37,2025-10-04,96.52
315,37,2025-11-03,215.95
316,37,2025-12-03,161.9
317,37,2026-01-02,125.09
318,37,2026-02-01,210.08
319,38,2025-09-12,142.01
320,38,2025-10-12,185.8
321,38,2025-11-11,181.36
322,38,2025-12-11,146.74
323,38,2026-01-10,188.8
324,39,2025-02-06,155.0
325,39,2025-03-08,120.91
326,39,2025-04-07,158.41
327,39,2025-05-07,160.94
328,39,2025-06-06,154.64
329,39,2025-07-06,152.74
330,39,2025-08-05,149.43
331,39,2025-09-04,132.23
332,39,2025-10-04,149.64
333,39,2025-11-03,176.62
334,39,2025-12-03,200.72
335,39,2026-01-02,230.66
336,39,2026-02-01,155.87
337,40,2025-02-06,152.79
338,40,2025-03-08,227.93
339,40,2025-04-07,152.35
340,40,2025-05-07,154.62
341,40,2025-06-06,132.72
342,40,2025-07-06,176.74
343,40,2025-08-05,204.64
344,40,2025-09-04,175.04
345,40,2025-10-04,183.72
346,40,2025-11-03,152.36
347,40,2025-12-03,121.5
348,40,2026-01-02,171.89
349,40,2026-02-01,221.18
350,41,2025-02-06,199.94
351,41,2025-03-08,131.68
352,41,2025-04-07,144.19
353,41,2025-05-07,162.11
354,41,2025-06-06,131.15
355,41,2025-07-06,121.21
356,41,2025-08-05,185.24
357,41,2025-09-04,158.51
358,41,2025-10-04,213.33
359,41,2025-11-03,168.65
360,41,2025-12-03,103.82
361,41,2026-01-02,96.48
362,41,2026-02-01,199.01
363,43,2025-02-06,163.76
364,43,2025-03-08,210.83
365,43,2025-04-07,100.15
366,43,2025-05-07,121.83
367,43,2025-06-06,174.59
368,43,2025-07-06,108.74
369,43,2025-08-05,169.81
370,43,2025-09-04,195.62
371,43,2025-10-04,200.87
372,43,2025-11-03,142.67
373,43,2025-12-03,156.71
374,43,2026-01-02,149.57
375,43,2026-02-01,161.02
376,44,2025-10-12,203.44
377,44,2025-11-11,184.78
378,44,2025-12-11,200.46
379,44,2026-01-10,224.42
380,45,2025-02-06,190.09
381,45,2025-03-08,215.31
382,45,2025-04-07,216.31
383,45,2025-05-07,174.82
384,45,2025-06-06,211.71
385,45,2025-07-06,167.58
386,45,2025-08-05,188.06
387,45,2025-09-04,190.01
388,45,2025-10-04,210.56
389,45,2025-11-03,213.37
390,45,2025-12-03,218.82
391,45,2026-01-02,141.22
392,45,2026-02-01,229.74
393,46,2025-02-06,213.63
394,46,2025-03-08,197.78
395,46,2025-04-07,245.98
396,46,2025-05-07,183.73
397,46,2025-06-06,229.69
398,46,2025-07-06,209.52
399,46,2025-08-05,216.98
400,46,2025-09-04,191.48
401,46,2025-10-04,208.14
402,46,2025-11-03,199.04
403,46,2025-12-03,181.77
404,46,2026-01-02,168.97
405,46,2026-02-01,211.02
406,47,2025-02-06,257.74
407,47,2025-03-08,239.46
408,47,2025-04-07,181.6
409,47,2025-05-07,221.34
410,47,2025-06-06,221.36
411,47,2025-07-06,193.03
412,47,2025-08-05,252.37
413,47,2025-09-04,236.69
414,47,2025-10-04,161.72
415,47,2025-11-03,231.27
416,47,2025-12-03,174.94
417,47,2026-01-02,251.23
418,47,2026-02-01,204.65
419,49,2025-02-06,239.72
420,49,2025-03-08,236.55
421,49,2025-04-07,216.51
422,49,2025-05-07,256.63
423,49,2025-06-06,222.32
424,49,2025-07-06,199.89
425,49,2025-08-05,227.23
426,49,2025-09-04,216.76
427,49,2025-10-04,257.66
428,49,2025-11-03,203.27
429,49,2025-12-03,194.7
430,49,2026-01-02,211.01
431,49,2026-02-01,268.81
432,50,2025-02-06,205.23
433,50,2025-03-08,237.1
434,50,2025-04-07,244.51
435,50,2025-05-07,212.04
436,50,2025-06-06,293.88
437,50,2025-07-06,220.89
438,50,2025-08-05,234.78
439,50,2025-09-04,187.28
440,50,2025-10-04,230.05
441,50,2025-11-03,229.36
442,50,2025-12-03,254.69
443,50,2026-01-02,256.31
444,50,2026-02-01,244.69
445,51,2025-02-06,193.95
446,51,2025-03-08,234.71
447,51,2025-04-07,272.55
448,51,2025-05-07,224.61
449,51,2025-06-06,278.09
450,51,2025-07-06,249.79
451,51,2025-08-05,240.98
452,51,2025-09-04,246.17
453,51,2025-10-04,202.8
454,51,2025-11-03,205.56
455,51,2025-12-03,291.65
456,51,2026-01-02,246.79
457,51,2026-02-01,245.23
458,52,2025-04-07,195.56
459,52,2025-05-07,244.47
460,52,2025-06-06,262.8
461,52,2025-07-06,261.85
462,52,2025-08-05,252.47
463,52,2025-09-04,211.53
464,52,2025-10-04,232.88
465,52,2025-11-03,209.41
466,52,2025-12-03,250.86
467,52,2026-01-02,305.77
468,52,2026-02-01,262.0
469,57,2025-02-06,168.21
470,57,2025-03-08,213.5
471,57,2025-04-07,173.76
472,57,2025-05-07,238.39
473,57,2025-06-06,217.38
474,57,2025-07-06,146.49
475,57,2025-08-05,202.65
476,57,2025-09-04,204.04
477,57,2025-10-04,168.91
478,57,2025-11-03,217.52
479,57,2025-12-03,186.02
480,57,2026-01-02,178.28
481,57,2026-02-01,203.64
482,58,2025-08-29,134.88
483,58,2025-09-28,186.19
484,58,2025-10-28,193.16
485,58,2025-11-27,174.38
486,58,2025-12-27,196.93
487,58,2026-01-26,154.72
488,60,2026-02-01,173.45
489,61,2025-02-06,200.81
490,61,2025-03-08,139.28
491,61,2025-04-07,227.36
492,61,2025-05-07,221.74
493,61,2025-06-06,174.68
494,61,2025-07-06,200.21
495,61,2025-08-05,272.08
496,61,2025-09-04,163.98
497,61,2025-10-04,125.68
498,61,2025-11-03,216.97
499,61,2025-12-03,156.07
500,61,2026-01-02,263.94
501,61,2026-02-01,174.44
502,63,2025-06-01,215.29
503,63,2025-07-01,200.3
504,63,2025-07-31,223.75
505,63,2025-08-30,233.82
506,63,2025-09-29,188.11
507,63,2025-10-29,211.12
508,63,2025-11-28,215.81
509,63,2025-12-28,191.5
510,63,2026-01-27,185.22
511,66,2025-09-26,201.92
512,66,2025-10-26,178.82
513,66,2025-11-25,216.26
514,66,2025-12-25,199.0
515,66,2026-01-24,225.08
516,68,2025-08-16,210.54
517,68,2025-09-15,236.15
518,68,2025-10-15,164.21
519,68,2025-11-14,264.84
520,68,2025-12-14,211.25
521,68,2026-01-13,265.11
522,70,2025-02-06,208.18
523,70,2025-03-08,272.16
524,70,2025-04-07,253.19
525,70,2025-05-07,232.78
526,70,2025-06-06,144.04
527,70,2025-07-06,255.99
528,70,2025-08-05,232.26
529,70,2025-09-04,262.69
530,70,2025-10-04,262.78
531,70,2025-11-03,224.31
532,70,2025-12-03,227.03
533,70,2026-01-02,197.6
534,70,2026-02-01,237.46
535,71,2025-02-06,242.85
536,71,2025-03-08,191.87
537,71,2025-04-07,252.48
538,71,2025-05-07,277.39
539,71,2025-06-06,216.64
540,71,2025-07-06,177.66
541,71,2025-08-05,170.54
542,71,2025-09-04,198.05
543,71,2025-10-04,223.15
544,71,2025-11-03,223.69
545,71,2025-12-03,223.22
546,71,2026-01-02,223.71
547,71,2026-02-01,204.21
548,73,2025-02-06,218.13
549,73,2025-03-08,332.76
550,73,2025-04-07,266.37
551,73,2025-05-07,185.16
552,73,2025-06-06,231.6
553,73,2025-07-06,265.36
554,73,2025-08-05,198.19
555,73,2025-09-04,248.33
556,73,2025-10-04,256.52
557,73,2025-11-03,290.56
558,73,2025-12-03,257.53
559,73,2026-01-02,261.47
560,73,2026-02-01,241.86
561,74,2025-02-06,123.89
562,74,2025-03-08,167.82
563,74,2025-04-07,97.95
564,74,2025-05-07,153.02
565,74,2025-06-06,127.55
566,74,2025-07-06,137.14
567,74,2025-08-05,167.07
568,74,2025-09-04,137.38
569,74,2025-10-04,152.57
570,74,2025-11-03,115.91
571,74,2025-12-03,111.24
572,74,2026-01-02,140.86
573,74,2026-02-01,142.29
574,75,2025-06-16,140.51
575,75,2025-07-16,145.89
576,75,2025-08-15,160.75
577,75,2025-09-14,112.94
578,75,2025-10-14,155.62
579,75,2025-11-13,163.72
580,75,2025-12-13,131.59
581,75,2026-01-12,180.06
582,76,2026-01-11,176.71
583,77,2025-02-06,98.29
584,77,2025-03-08,211.72
585,77,2025-04-07,177.38
586,77,2025-05-07,140.22
587,77,2025-06-06,139.08
588,77,2025-07-06,171.07
589,77,2025-08-05,98.36
590,77,2025-09-04,151.13
591,77,2025-10-04,208.02
592,77,2025-11-03,148.39
593,77,2025-12-03,149.91
594,77,2026-01-02,175.45
595,77,2026-02-01,146.89
596,78,2025-02-06,137.7
597,78,2025-03-08,140.88
598,78,2025-04-07,204.45
599,78,2025-05-07,196.5
600,78,2025-06-06,214.18
601,78,2025-07-06,162.46
602,78,2025-08-05,161.15
603,78,2025-09-04,172.94
604,78,2025-10-04,219.43
605,78,2025-11-03,177.22
606,78,2025-12-03,147.01
607,78,2026-01-02,167.59
608,78,2026-02-01,165.36
609,80,2025-11-21,214.63
610,80,2025-12-21,167.95
611,80,2026-01-20,207.88
612,81,2025-04-22,235.24
613,81,2025-05-22,154.94
614,81,2025-06-21,170.26
615,81,2025-07-21,206.48
616,81,2025-08-20,233.69
617,81,2025-09-19,146.35
618,81,2025-10-19,130.13
619,81,2025-11-18,197.97
620,81,2025-12-18,182.17
621,81,2026-01-17,186.6
622,82,2025-02-06,211.38
623,82,2025-03-08,250.05
624,82,2025-04-07,228.01
625,82,2025-05-07,204.72
626,82,2025-06-06,175.26
627,82,2025-07-06,209.92
628,82,2025-08-05,182.39
629,82,2025-09-04,231.5
630,82,2025-10-04,207.6
631,82,2025-11-03,255.69
632,82,2025-12-03,203.39
633,82,2026-01-02,258.9
634,82,2026-02-01,210.57
635,83,2025-02-06,229.31
636,83,2025-03-08,183.03
637,83,2025-04-07,154.73
638,83,2025-05-07,224.49
639,83,2025-06-06,245.83
640,83,2025-07-06,241.89
641,83,2025-08-05,206.7
642,83,2025-09-04,214.37
643,83,2025-10-04,170.94
644,83,2025-11-03,182.91
645,83,2025-12-03,196.02
646,83,2026-01-02,180.02
647,83,2026-02-01,181.42
648,85,2025-07-22,180.85
649,85,2025-08-21,202.11
650,85,2025-09-20,251.06
651,85,2025-10-20,224.98
652,85,2025-11-19,172.67
653,85,2025-12-19,216.02
654,85,2026-01-18,216.92
655,86,2025-02-06,177.18
656,86,2025-03-08,272.22
657,86,2025-04-07,192.35
658,86,2025-05-07,231.48
659,86,2025-06-06,203.74
660,86,2025-07-06,198.12
661,86,2025-08-05,203.53
662,86,2025-09-04,242.77
663,86,2025-10-04,219.44
664,86,2025-11-03,217.49
665,86,2025-12-03,177.99
666,86,2026-01-02,248.35
667,86,2026-02-01,253.3
668,87,2025-02-06,199.76
669,87,2025-03-08,239.16
670,87,2025-04-07,194.12
671,87,2025-05-07,239.29
672,87,2025-06-06,192.43
673,87,2025-07-06,184.89
674,87,2025-08-05,241.53
675,87,2025-09-04,167.2
676,87,2025-10-04,149.11
677,87,2025-11-03,248.85
678,87,2025-12-03,266.43
679,87,2026-01-02,193.36
680,87,2026-02-01,204.95
681,88,2025-12-08,213.65
682,88,2026-01-07,213.48
683,89,2025-10-24,239.09
684,89,2025-11-23,225.63
685,89,2025-12-23,269.57
686,89,2026-01-22,191.36
687,91,2025-10-13,185.66
688,91,2025-11-12,239.17
689,91,2025-12-12,187.47
690,91,2026-01-11,173.48
691,92,2025-02-06,249.56
692,92,2025-03-08,217.06
693,92,2025-04-07,234.07
694,92,2025-05-07,251.54
695,92,2025-06-06,258.18
696,92,2025-07-06,202.56
697,92,2025-08-05,241.67
698,92,2025-09-04,237.38
699,92,2025-10-04,202.6
700,92,2025-11-03,241.84
701,92,2025-12-03,224.84
702,92,2026-01-02,230.34
703,92,2026-02-01,248.21
704,93,2025-07-29,163.39
705,93,2025-08-28,145.45
706,93,2025-09-27,111.49
707,93,2025-10-27,186.04
708,93,2025-11-26,183.28
709,93,2025-12-26,141.4
710,93,2026-01-25,89.67
711,96,2025-10-24,154.12
712,96,2025-11-23,154.29
713,96,2025-12-23,163.76
714,96,2026-01-22,155.95
715,99,2025-08-15,128.37
716,99,2025-09-14,194.15
717,99,2025-10-14,167.37
718,99,2025-11-13,148.54
719,99,2025-12-13,149.82
720,99,2026-01-12,191.67
721,101,2025-12-03,182.28
722,101,2026-01-02,213.8
723,101,2026-02-01,165.89
724,102,2025-02-06,245.7
725,102,2025-03-08,245.12
726,102,2025-04-07,174.53
727,102,2025-05-07,209.14
728,102,2025-06-06,190.8
729,102,2025-07-06,219.45
730,102,2025-08-05,160.6
731,102,2025-09-04,219.54
732,102,2025-10-04,150.4
733,102,2025-11-03,214.85
734,102,2025-12-03,199.51
735,102,2026-01-02,205.11
736,102,2026-02-01,208.9
737,103,2025-04-15,233.95
738,103,2025-05-15,184.8
739,103,2025-06-14,245.07
740,103,2025-07-14,177.34
741,103,2025-08-13,230.32
742,103,2025-09-12,249.34
743,103,2025-10-12,257.68
744,103,2025-11-11,200.37
745,103,2025-12-11,246.56
746,103,2026-01-10,214.12
747,104,2025-02-06,185.02
748,104,2025-03-08,257.95
749,104,2025-04-07,205.16
750,104,2025-05-07,176.7
751,104,2025-06-06,221.95
752,104,2025-07-06,183.14
753,104,2025-08-05,203.56
754,104,2025-09-04,228.31
755,104,2025-10-04,203.05
756,104,2025-11-03,275.6
757,104,2025-12-03,190.02
758,104,2026-01-02,291.68
759,104,2026-02-01,205.45
760,105,2025-08-27,252.18
761,105,2025-09-26,287.74
762,105,2025-10-26,245.27
763,105,2025-11-25,219.6
764,105,2025-12-25,195.4
765,105,2026-01-24,259.77
766,107,2025-02-06,197.61
767,107,2025-03-08,274.24
768,107,2025-04-07,258.17
769,107,2025-05-07,197.28
770,107,2025-06-06,238.08
771,107,2025-07-06,253.59
772,107,2025-08-05,253.01
773,107,2025-09-04,214.0
774,107,2025-10-04,240.03
775,107,2025-11-03,227.15
776,107,2025-12-03,220.85
777,107,2026-01-02,290.61
778,107,2026-02-01,228.51
779,108,2025-03-17,197.71
780,108,2025-04-16,213.26
781,108,2025-05-16,252.57
782,108,2025-06-15,179.14
783,108,2025-07-15,236.79
784,108,2025-08-14,220.27
785,108,2025-09-13,240.71
786,108,2025-10-13,208.87
787,108,2025-11-12,248.25
788,108,2025-12-12,212.61
789,108,2026-01-11,193.47
790,109,2025-02-06,197.52
791,109,2025-03-08,245.92
792,109,2025-04-07,191.43
793,109,2025-05-07,203.66
794,109,2025-06-06,264.8
795,109,2025-07-06,249.88
796,109,2025-08-05,222.26
797,109,2025-09-04,237.65
798,109,2025-10-04,219.54
799,109,2025-11-03,193.83
800,109,2025-12-03,221.02
801,109,2026-01-02,198.16
802,109,2026-02-01,234.56
803,110,2025-08-24,278.36
804,110,2025-09-23,201.76
805,110,2025-10-23,263.85
806,110,2025-11-22,226.01
807,110,2025-12-22,242.29
808,110,2026-01-21,213.66
809,111,2025-02-06,258.79
810,111,2025-03-08,261.61
811,111,2025-04-07,222.63
812,111,2025-05-07,270.65
813,111,2025-06-06,189.02
814,111,2025-07-06,249.87
815,111,2025-08-05,223.66
816,111,2025-09-04,262.41
817,111,2025-10-04,213.65
818,111,2025-11-03,225.12
819,111,2025-12-03,241.67
820,111,2026-01-02,239.59
821,111,2026-02-01,219.66
822,112,2025-07-26,250.13
823,112,2025-08-25,203.26
824,112,2025-09-24,266.34
825,112,2025-10-24,294.55
826,112,2025-11-23,250.33
827,112,2025-12-23,186.74
828,112,2026-01-22,244.18
829,115,2025-02-06,169.42
830,115,2025-03-08,130.58
831,115,2025-04-07,120.99
832,115,2025-05-07,180.42
833,115,2025-06-06,120.82
834,115,2025-07-06,150.48
835,115,2025-08-05,216.23
836,115,2025-09-04,139.03
837,115,2025-10-04,213.07
838,115,2025-11-03,171.74
839,115,2025-12-03,182.82
840,115,2026-01-02,122.05
841,115,2026-02-01,181.37
842,116,2025-12-23,187.69
843,116,2026-01-22,63.68
844,117,2025-02-06,158.15
845,117,2025-03-08,127.15
846,117,2025-04-07,161.52
847,117,2025-05-07,178.41
848,117,2025-06-06,181.66
849,117,2025-07-06,175.04
850,117,2025-08-05,179.62
851,117,2025-09-04,98.08
852,117,2025-10-04,206.12
853,117,2025-11-03,195.35
854,117,2025-12-03,166.83
855,117,2026-01-02,185.6
856,117,2026-02-01,133.13
857,118,2025-02-06,159.11
858,118,2025-03-08,138.24
859,118,2025-04-07,165.39
860,118,2025-05-07,192.75
861,118,2025-06-06,196.56
862,118,2025-07-06,107.34
863,118,2025-08-05,209.93
864,118,2025-09-04,136.89
865,118,2025-10-04,189.94
866,118,2025-11-03,176.4
867,118,2025-12-03,187.21
868,118,2026-01-02,152.18
869,118,2026-02-01,153.69
870,119,2025-07-07,233.68
871,119,2025-08-06,136.06
872,119,2025-09-05,197.53
873,119,2025-10-05,167.52
874,119,2025-11-04,179.68
875,119,2025-12-04,174.16
876,119,2026-01-03,208.98
877,120,2025-03-17,176.74
878,120,2025-04-16,195.33
879,120,2025-05-16,195.13
880,120,2025-06-15,217.81
881,120,2025-07-15,145.61
882,120,2025-08-14,168.37
883,120,2025-09-13,200.37
884,120,2025-10-13,139.96
885,120,2025-11-12,201.11
886,120,2025-12-12,202.08
887,120,2026-01-11,184.98
888,121,2025-09-20,195.15
889,121,2025-10-20,212.24
890,121,2025-11-19,220.07
891,121,2025-12-19,172.36
892,121,2026-01-18,173.63
893,122,2025-03-31,172.9
894,122,2025-04-30,198.31
895,122,2025-05-30,241.71
896,122,2025-06-29,244.32
897,122,2025-07-29,230.62
898,122,2025-08-28,168.0
899,122,2025-09-27,154.24
900,122,2025-10-27,172.21
901,122,2025-11-26,206.15
902,122,2025-12-26,194.06
903,122,2026-01-25,192.63
904,123,2026-01-23,205.34
905,124,2025-10-22,208.3
906,124,2025-11-21,240.35
907,124,2025-12-21,200.04
908,124,2026-01-20,222.27
909,125,2025-06-28,167.73
910,125,2025-07-28,202.5
911,125,2025-08-27,241.16
912,125,2025-09-26,216.67
913,125,2025-10-26,231.24
914,125,2025-11-25,223.98
915,125,2025-12-25,177.89
916,125,2026-01-24,238.89
917,127,2025-05-27,229.1
918,127,2025-06-26,265.91
919,127,2025-07-26,196.47
920,127,2025-08-25,207.14
921,127,2025-09-24,245.12
922,127,2025-10-24,252.23
923,127,2025-11-23,196.0
924,127,2025-12-23,260.9
925,127,2026-01-22,228.02
926,129,2025-03-29,239.71
927,129,2025-04-28,206.73
928,129,2025-05-28,214.47
929,129,2025-06-27,272.32
930,129,2025-07-27,191.3
